year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1988,4310054,5358834,88866408,87529760,743400,14.038,617102,11.653,16898307,6408838,10489469,7.322,19.306,14225645,5392728,8832917,6.161,16.252,2672662,3.053,32.505,425510,435570,2796098
1989,4384235,5476435,91810120,90345669,726779,13.413,611120,11.278,16661263,6193804,10467459,6.856,18.442,13766544,5100280,8666264,5.645,15.238,2894719,3.204,30.475,429643,441962,2796898
1990,4448331,5572113,93983875,92988277,702810,12.721,607945,11.004,15764815,5737608,10027207,6.17,16.954,13770075,4788832,8981243,5.15,14.808,1994740,2.145,29.617,434103,445623,2751516
1991,4415239,5605165,91781210,92910073,693134,12.41,653383,11.698,14348741,5766786,8581955,6.207,15.444,16614383,5756579,10857804,6.196,17.882,-2265642,-2.439,30.887,453999,467112,3413379
1992,4415353,5618047,91752935,91752045,655368,11.685,636401,11.347,15052842,5326443,9726399,5.805,16.406,15049527,5258927,9790600,5.732,16.402,3315,0.004,32.805,415620,426940,2717110
1993,4492844,5678753,93252746,92522570,654708,11.592,593444,10.507,15267887,5095809,10172078,5.508,16.502,13824152,4773815,9050337,5.16,14.941,1443735,1.56,29.883,386735,399186,2344978
1994,4575872,5794866,95712240,94646849,690292,12.026,580777,10.118,15420780,5599486,9821294,5.916,16.293,13287184,4646130,8641054,4.909,14.039,2133596,2.254,28.077,398412,410387,2511762
1995,4674999,5924662,99215837,97426635,710211,12.121,579310,9.887,16287284,5888708,10398576,6.044,16.717,12695413,4450157,8245256,4.568,13.031,3591871,3.687,26.061,398822,412223,2480286
1996,4723292,5999452,99941800,99188415,703664,11.827,604282,10.156,15745430,5801074,9944356,5.849,15.874,14248737,4932351,9316386,4.973,14.365,1496693,1.509,28.731,416658,429553,2650627
1997,4778182,6076988,103130083,101714275,740419,12.261,664088,10.997,18332784,6648343,11684441,6.536,18.024,15479999,5793120,9686879,5.695,15.219,2852785,2.805,30.438,434384,449511,2928346
1998,4855737,6183325,107555170,105970736,706520,11.505,622067,10.13,18145430,6336524,11808906,5.98,17.123,14946832,5313008,9633824,5.014,14.105,3198598,3.018,28.209,400921,413969,2511486
1999,4885544,6248485,109832578,108784745,694544,11.173,630152,10.137,17848601,6266563,11582038,5.761,16.407,15745858,5702210,10043648,5.242,14.474,2102743,1.933,28.949,409093,424907,2765158
2000,4905920,6295525,113339093,111736176,685586,10.928,641746,10.229,18914913,6427213,12487700,5.752,16.928,15711446,5928358,9783088,5.306,14.061,3203467,2.867,28.122,405496,421880,2621033
2001,4916644,6336676,113827275,113574066,699855,11.082,657505,10.411,17909427,6498141,11411286,5.722,15.769,17413058,6178613,11234445,5.44,15.332,496369,0.437,30.664,408907,426387,2838246
2002,4931112,6391857,111629580,113079464,758249,11.9,718489,11.276,18477540,7420131,11057409,6.562,16.34,21391782,7259452,14132330,6.42,18.917,-2914242,-2.577,32.681,434669,449930,3502992
2003,4992095,6457382,112319850,111976463,727492,11.326,658965,10.259,17601652,5941836,11659816,5.306,15.719,16920906,5726463,11194443,5.114,15.111,680746,0.608,30.222,407126,418847,2559038
2004,5085833,6565627,113994503,113245375,743601,11.419,636287,9.771,17163684,5760332,11403352,5.087,15.156,15702138,5500528,10201610,4.857,13.866,1461546,1.291,27.731,405744,417810,2566213
2005,5168533,6677154,115303461,114688889,762913,11.522,651399,9.838,16919493,6056041,10863452,5.28,14.753,15683767,5050809,10632958,4.404,13.675,1235726,1.077,27.35,420154,431425,2566654
2006,5257435,6838865,119106296,117284002,835857,12.369,673393,9.965,18578054,6708633,11869421,5.72,15.84,14954729,4912902,10041827,4.189,12.751,3623325,3.089,25.502,451311,461740,2542267
2007,5294245,6918368,119684436,119433375,801501,11.654,719169,10.457,18203989,6264010,11939979,5.245,15.242,17704096,5766159,11937937,4.828,14.823,499893,0.419,29.647,458737,468469,2720953
2008,5233330,6875295,119437627,119520477,704926,10.224,744546,10.798,16872160,5531120,11341040,4.628,14.117,17072996,5526462,11546534,4.624,14.285,-200836,-0.168,28.233,487263,497858,2782165
2009,5092532,6738298,113559895,116654811,628530,9.218,789312,11.576,13330627,4905628,8424999,4.205,11.427,19534126,5543163,13990963,4.752,16.745,-6203499,-5.318,22.855,503996,516924,2990005
2010,5019625,6671187,111191855,112393603,632131,9.428,699341,10.43,13343822,4687695,8656127,4.171,11.872,15725096,4627951,11097145,4.118,13.991,-2381274,-2.119,23.745,434298,446876,2360262
2011,4996662,6667358,112781943,111997600,654519,9.814,657830,9.864,14696976,4513224,10183752,4.03,13.123,13115131,4182843,8932288,3.735,11.71,1581845,1.412,23.42,414629,427592,2158512
2012,5043234,6710043,115178250,113985080,664871,9.941,620684,9.281,15663069,4627324,11035745,4.06,13.741,13268522,4376261,8892261,3.839,11.641,2394547,2.101,23.281,374363,386695,2157502
2013,5068464,6746894,117366195,116299108,656379,9.756,618364,9.191,15466253,4820013,10646240,4.144,13.299,13332255,4457131,8875124,3.832,11.464,2133998,1.835,22.928,380912,388629,2176295
2014,5106214,6825393,119997966,118669866,669155,9.86,591369,8.714,15532000,4994426,10537574,4.209,13.088,12871094,4091628,8779466,3.448,10.846,2660906,2.242,21.692,380185,388630,2099300
2015,5151871,6909168,123127141,121571938,681670,9.927,597445,8.7,16211113,5307506,10903607,4.366,13.335,13089267,4177386,8911881,3.436,10.767,3121846,2.568,21.533,380745,390563,2195173
2016,5219436,7037030,125653010,124397944,704278,10.1,576706,8.27,15984010,5191741,10792269,4.173,12.849,13479619,4248560,9231059,3.415,10.836,2504391,2.013,21.672,387455,397679,2299930
2017,5252059,7071934,127304992,126350400,673049,9.542,636767,9.027,16914467,5108754,11805713,4.043,13.387,15011846,5032393,9979453,3.983,11.881,1902621,1.506,23.762,403778,415332,2496189
2018,5288540,7098769,129588481,128503203,648006,9.151,612910,8.655,16101824,4785269,11316555,3.724,12.53,13923661,4427800,9495861,3.446,10.835,2178163,1.695,21.671,417399,431957,2496614
2019,5324658,7151577,131788812,130653634,657830,9.232,605159,8.493,15513644,4840348,10673296,3.705,11.874,13284265,4225099,9059166,3.234,10.168,2229379,1.706,20.335,458835,470653,2581348
